date,city,country,venue,details
07-29-2014,London,England,KOKO,with Mogwai and Fuck Buttons (DJ Set) - Benefit for Julia Brightly
07-25-2014,London,England,The Lexington,"with Cuts and Parlour - video: 80's - don't move - hit single - prossy 
 Rest of show in two parts: part one - part two - review + photos"
07-20-2014,Liverpool,England,East Village Arts Club,with Strange Collective and Tear Talk - review + photo
07-19-2014,Steventon,England,Hill Farm,Truck Festival - photos
07-13-2014,Kinross,Scotland,Balado,"T in the Park 2014 - video: sheepdug - the mother we share (James singing with Chvrches) - photos 
 more photos"
06-21-2014,London,England,Northampton Square Bandstand,video: sheepdug - last january - alphabet - shoplift - rabbit - hit single - photos
05-31-2014,Barcelona,Spain,Parc de la Ciutadella,"Primavera Sound 2014, stripped down set - video: prossy - wrong car - hit single"
05-30-2014,Barcelona,Spain,Parc del Forum,Primavera Sound 2014 - video: prossy - hit single - James article for Huffington Post
05-03-2014,Bristol,England,The Exchange,
05-02-2014,Manchester,England,The Deaf Institute,
05-01-2014,London,England,Hoxton Square Bar & Kitchen,
04-30-2014,London,England,Hoxton Square Bar & Kitchen,"video: sheepdug 
 Rest of the show in 3 parts + last song: part one - part two - part three - 3 seconds - review + photo + setlist
 more photos"
04-29-2014,Leeds,England,Brudenell Social Club,with Vladimir - photos
04-28-2014,Glasgow,Scotland,Nice n' Sleazy,
04-04-2014,Glasgow,Scotland,Barrowlands,with Manic Street Preachers - review + photos
04-03-2014,Edinburgh,Scotland,The Corn Exchange,with Manic Street Preachers - video: don't move - january
12-21-2013,Glasgow,Scotland,King Tut's Wah Wah Hut,Played Fourteen Autumns & Fifteen Winters
12-20-2013,Glasgow,Scotland,King Tut's Wah Wah Hut,"Played Fourteen Autumns & Fifteen Winters - video: sheepdug - hit single - last year's rain 
 3 seconds - review + photos - more photos"
12-14-2013,Edinburgh,Scotland,Liquid Room,with Honeyblood and Conquering Animal Sound - video: downstairs - dead city - alphabet - emily - sheepdug rabbit - review + photos
10-14-2013,Paisley,Scotland,Paisley Abbey,"The Spree 2013, with the Royal National Scottish Orchestra - video: full performance"
09-21-2013,Tilburg,Netherlands,Poppodium 013,Incubate 2013 - video: made to disappear - wrong car - prossy - 80's - photos
08-24-2013,Brighton,England,Concorde 2,At the Edge of the Sea 2013 - video: rabbit - emily - prossy - suck
07-27-2013,Glasgow,Scotland,Platform,Concert to save Sighthill Stone Circle - video: sheepdug
06-23-2013,Glasgow,Scotland,Òran Mór,with Meursault and Campfires in Winter - West End Festival 2013 - video: prossy - the room - rabbit - photos
06-19-2013,Glasgow,Scotland,HMV Glasgow,In-store acoustic performance - photos
05-26-2013,Leicester,England,The Guildhall,Handmade Festival 2013 - photo
04-28-2013,Dundee,Scotland,20 Rocks,with United Fruit - video: nil - photos
04-27-2013,Stirling,Scotland,The Tolbooth,with United Fruit - video: alphabet
04-26-2013,Dunfermline,Scotland,PJ Molloys,with United Fruit
04-25-2013,Aberdeen,Scotland,Lemon Tree,with United Fruit - video: at the burnside
04-20-2013,Dublin,Ireland,Workman's Club,
04-18-2013,Cork,Ireland,Cyprus Avenue,with Gary Meyler
04-18-2013,Galway,Ireland,Roisin Dubh,
04-17-2013,Belfast,Ireland,Auntie Anne's,with Amidships
03-27-2013,"Louisville, KY",USA,Headliners Music Hall,with Frightened Rabbit
03-26-2013,"Cincinnati, OH",USA,Bogart's,with Frightened Rabbit - video: alphabet - 80's - photos
03-24-2013,"Chicago, IL",USA,Riviera Theatre,with Frightened Rabbit - video: 80's
03-22-2013,"Milwaukee, WI",USA,Pabst Theater,with Frightened Rabbit - video: sheepdug
03-21-2013,"Minneapolis, MN",USA,Varsity Theater,with Frightened Rabbit - review + photo
03-19-2013,"Lincoln, NE",USA,Bourbon Theatre,with Frightened Rabbit
03-18-2013,"Englewood, CO",USA,Gothic Theatre,with Frightened Rabbit - video: wrong car
03-15-2013,"San Francisco, CA",USA,Rickshaw Stop,with Vir and Sporting Life - video: emily - rabbit - sheepdug
03-14-2013,"Santa Cruz, CA",USA,The Crepe Place,video: made to disappear - 80's - 3iii - wrong car - photos - more photos
03-13-2013,"Los Angeles, CA",USA,The Fonda Theatre,"with Frightened Rabbit (stripped down set) - video: prossy - sick - faster - 80's 
 sheepdug - review #1 + photos - review #2 + photos - review #3 + photos - review #4 + photos"
03-12-2013,"Solana Beach, CA",USA,Belly Up Tavern,with Frightened Rabbit - video: hit single - alphabet - prossy - review + photos - second review + photo
03-11-2013,"San Francisco, CA",USA,The Fillmore,with Frightened Rabbit - review + photos
03-09-2013,"Portland, OR",USA,Hawthorne Theatre,with Frightened Rabbit
03-08-2013,"Seattle, WA",USA,Showbox at the Market,with Frightened Rabbit
02-24-2013,Glasgow,Scotland,Nice n' Sleazy,"Stripped back set - video: alphabet - prossy - 80's - ye ken - emily (incomplete) - wrong car
 3iii (incomplete) - sheepdug"
