date,city,country,venue,details
05-14-2010,"Salt Lake City, UT",USA,Urban Lounge,with Mono - video: rabbit (incomplete) - photos
05-12-2010,"Vancouver, BC",Canada,Biltmore Cabaret,with Mono
05-11-2010,"Seattle, WA",USA,Neumo's,with Mono - review + photos
05-10-2010,"Portland, OR",USA,Berbati's Pan,with Mono
05-08-2010,"San Francisco, CA",USA,Slim's,with Mono - photos - more photos
05-07-2010,"Los Angeles, CA",USA,El Rey Theatre,with Mono
05-06-2010,London,England,HMV Hammersmith Apollo,with Biffy Clyro - video: sheepdug - photos - more photos
05-05-2010,Bristol,England,Colston Hall,with Biffy Clyro
05-04-2010,Portsmouth,England,Guildhall,with Biffy Clyro and Rolo Tomassi - photos
05-03-2010,Leicester,England,De Montfort Hall,with Biffy Clyro
05-01-2010,Blackpool,England,Empress Ballroom,with Biffy Clyro
04-30-2010,Sheffield,England,O2 Academy,with Biffy Clyro
04-29-2010,Perth,Scotland,Perth Concert Hall,with Biffy Clyro and Rolo Tomassi
04-02-2010,Glasgow,Scotland,O2 ABC,with Take A Worm For A Walk Week and The Unwinding Hours - video: sheepdug - photos
04-01-2010,Aberdeen,Scotland,The Warehouse,with Take A Worm For A Walk Week - video: hit single - the room - review + setlist + photos
03-30-2010,Edinburgh,Scotland,Avalanche Records,"In-store, acoustic performance"
03-27-2010,Sheffield,England,The Harley,with Take A Worm For A Walk Week - review + photo - more photos
03-26-2010,Oxford,England,Jericho Tavern,with Take A Worm For A Walk Week
03-25-2010,Manchester,England,The Ruby Lounge,with Take A Worm For A Walk Week
03-24-2010,London,England,Relentless Garage,with Wild Palms and Take A Worm For A Walk Week - review + photos
12-16-2009,Glasgow,Scotland,Nice n' Sleazy,
12-15-2009,Edinburgh,Scotland,Voodoo Rooms,
11-28-2009,Glasgow,Scotland,Scottish Exhibition & Conference Centre,
11-23-2009,York,England,The Basement,
11-21-2009,Brussels,Belgium,La Rotonde,
11-20-2009,Amsterdam,Netherlands,Paradiso,London Calling Festival
11-19-2009,Münster,Germany,Gleis 22,with The Death Letters
11-18-2009,Heidelberg,Germany,Karlstorbahnhof,with The Death Letters
11-17-2009,Schorndorf,Germany,Manufaktur,with The Death Letters - photo + review (in German)
11-15-2009,Munich,Germany,Atomic Café,with The Death Letters
11-14-2009,Milan,Italy,La Casa 139,
11-13-2009,Rome,Italy,Circolo degli Artisti,video: prossy - rabbit - band mugged by fake police - article + thank you note
11-09-2009,Frankfurt,Germany,Nachtleben,with Sad Day For Puppets
11-07-2009,Berlin,Germany,Bang Bang Club,with Sad Day For Puppets - review + photos - video: pre-show interview
11-06-2009,Hamburg,Germany,Molotow,with Dance Yourself To Death - photos
11-05-2009,Copenhagen,Denmark,Loppen,with Sad Day For Puppets
11-03-2009,Cologne,Germany,Luxor,
11-01-2009,London,England,Northampton Square Bandstand,acoustic session for bandstand busking - video: rabbit - ye ken - the room - sheepdug
10-30-2009,Brighton,England,Freebutt,video: prossy
10-29-2009,London,England,Scala,"with Airship and Talons - photos
 video: hit single - downstairs - prossy - loud/quiet - rabbit"
10-28-2009,Norwich,England,Norwich Arts Centre,
10-27-2009,Cambridge,England,Portland Arms,photos
10-26-2009,Birmingham,England,Hare and Hounds,with Mutineers and Goodnight Lenin - review + photos
10-24-2009,Nottingham,England,The Bodega,with Mascot Fight and In The Back Of The Real
10-23-2009,Cardiff,England,The Gate Arts Centre,
10-22-2009,Leeds,England,The Cockpit,
10-21-2009,Manchester,England,The Ruby Lounge,photos
10-21-2009,London,England,6Music Studios,Marc Riley BBC6 Music Session
10-20-2009,Newcastle,England,The Cluny,video: loud/quiet (poor quality)
10-12-2009,"Chicago, IL",USA,Empty Bottle,with We Were Promised Jetpacks and brakesbrakesbrakes - photos
10-10-2009,"Toronto, ON",Canada,El Mocambo,with We Were Promised Jetpacks and brakesbrakesbrakes - review + photos
10-09-2009,"Montreal, QC",Canada,La Sala Rossa,with We Were Promised Jetpacks and brakesbrakesbrakes
10-07-2009,"Allston, MA",USA,Great Scott,"with We Were Promised Jetpacks and brakesbrakesbrakes - review + photos
 video: loud/quiet - the room - sheepdug"
10-06-2009,"New York, NY",USA,Bowery Ballroom,with We Were Promised Jetpacks and brakesbrakesbrakes - review + photos
10-05-2009,"Washington, DC",USA,Black Cat,with We Were Promised Jetpacks and brakesbrakesbrakes
10-03-2009,"Philadelphia, PA",USA,North Star Bar,with We Were Promised Jetpacks and brakesbrakesbrakes
10-02-2009,"Brooklyn, NY",USA,Southpaw,"with We Were Promised Jetpacks and brakesbrakesbrakes - video: hit single
 review + photos"
10-01-2009,"Chapel Hill, NC",USA,Local 506,with We Were Promised Jetpacks and brakesbrakesbrakes
09-29-2009,"Orlando, FL",USA,The Social,with Frightened Rabbit and We Were Promised Jetpacks - photos
09-28-2009,"Tallahassee, FL",USA,Club Downunder,with Frightened Rabbit and We Were Promised Jetpacks - poster
09-27-2009,"Atlanta, GA",USA,The Masquerade,with Frightened Rabbit and We Were Promised Jetpacks
09-26-2009,"Birmingham, AL",USA,Bottletree,Filmed for Alabama Public Television show We Have Signal - video: interview + performance
09-25-2009,"Baton Rouge, LA",USA,Spanish Moon,with Frightened Rabbit - poster
09-24-2009,"Austin, TX",USA,Mohawk,"with Frightened Rabbit, We Were Promised Jetpacks and Division Day"
09-22-2009,"Tucson, AZ",USA,Plush,with Frightened Rabbit and We Were Promised Jetpacks
09-20-2009,"Los Angeles, CA",USA,The Knitting Factory,with Frightened Rabbit and We Were Promised Jetpacks - review + photos
09-19-2009,"San Jose, CA",USA,The Voodoo Lounge,with Frightened Rabbit and We Were Promised Jetpacks - photos
09-18-2009,"San Francisco, CA",USA,The Independent,with Frightened Rabbit and We Were Promised Jetpacks
09-17-2009,"Portland, OR",USA,Dante's,"MusicFest NW2009 - with Frightened Rabbit, We Were Promised Jetpacks and Archeology"
09-17-2009,"Portland, OR",USA,Doug Fir Lounge,"MusicFest NW2009 - with Frightened Rabbit and We Were Promised Jetpacks - photos
 video: seven years of letters - made to disappear - 3iii - sheepdug"
09-16-2009,"Seattle, WA",USA,Neumo's,with Frightened Rabbit and We Were Promised Jetpacks - review + photos
09-15-2009,"Boise, ID",USA,Neurolux,with Frightened Rabbit and We Were Promised Jetpacks
09-14-2009,"Salt Lake City, UT",USA,Urban Lounge,with Frightened Rabbit and We Were Promised Jetpacks
08-28-2009,Leeds,England,Bramham Park,Leeds Festival 2009
08-05-2009,London,England,The Lexington,with Magic & Fur - photos
08-04-2009,York,England,The Basement,with Dream of Apollo
07-18-2009,Newcastle,England,Ouseburn Farm,Ouseburn Festival
07-12-2009,Kinross,Scotland,Balado,T in the Park 2009 - acoustic session for Skinny magazine - video: prossy - 80's - wrong car
07-12-2009,Kinross,Scotland,Balado,"T in the Park 2009- BBC Introducing - video: prossy + sheepdug + rabbit 
 post by James for T Diaries"
07-09-2009,London,England,Institute of Contemporary Arts,with We Were Promised Jetpacks
07-04-2009,Paddock Wood,England,Hop Farm,Hop Farm Music Festival 2009 - photos
07-02-2009,Edinburgh,Scotland,Bongo Club,with Adam Stafford and The Foundling Wheel
06-15-2009,Glasgow,Scotland,King Tut's Wah Wah Hut,with We Were Promised Jetpacks and Over the Wall
05-23-2009,Glasgow,Scotland,ABC,Stag & Dagger Festival
05-22-2009,Leeds,England,,Stag & Dagger Festival
05-21-2009,London,England,,Stag & Dagger Festival
05-20-2009,Bristol,England,The Fleece,with Farthing Wood and An Axe
05-19-2009,Southampton,England,Joiners,
05-18-2009,Nottingham,England,The Bodega,
05-17-2009,Oxford,England,Bullingdon Arms,
05-15-2009,Cardiff,England,Barfly,
05-14-2009,Brighton,England,Water Margin,The Great Escape 2009
05-13-2009,Birmingham,England,The Rainbow,with Mr Bones and the Dreamers and Blisst
05-08-2009,"Chicago, IL",USA,Congress Theatre,with Mogwai - review + photos
05-06-2009,"Pontiac, MI",USA,Crofoot Ballroom,with Mogwai - poster
05-05-2009,"Buffalo, NY",USA,Tralf Music Hall,with Mogwai
05-04-2009,"Toronto, ON",Canada,Phoenix,with Mogwai - photos
05-03-2009,"Montreal, QC",Canada,Metropolis,with Mogwai - photos
05-02-2009,"Northampton, MA",USA,Pearl Street,with Mogwai - photos
05-01-2009,"Boston, MA",USA,The Wilbur Theatre,with Mogwai - photos
04-30-2009,"Washington, DC",USA,Rock and Roll Hotel,photos
04-29-2009,"Brooklyn, NY",USA,Music Hall of Williamsburg,with Mogwai
04-28-2009,"Brooklyn, NY",USA,Music Hall of Williamsburg,with Mogwai
04-27-2009,"Brooklyn, NY",USA,Music Hall of Williamsburg,with Mogwai
04-25-2009,"Philadelphia, PA",USA,Trocadero,with Mogwai - photos - poster
04-24-2009,"Carborro, NC",USA,Cat's Cradle,with Mogwai
04-23-2009,"Asheville, NC",USA,The Orange Peel,with Mogwai - poster
04-22-2009,"Birmingham, AL",USA,Workplay Theater,with Mogwai
04-21-2009,"New Orleans, LA",USA,Republic,with Mogwai
04-20-2009,"Houston, TX",USA,Numbers,with Mogwai
04-19-2009,"Austin, TX",USA,The Mohawk,with The Calm Blue Sea
04-17-2009,"Dayton, OH",USA,Club Aquarius,photos
12-23-2008,Glasgow,Scotland,King Tut's Wah Wah Hut,with Plaaydoh
12-18-2008,Glasgow,Scotland,King Tut's Wah Wah Hut,with Idlewild - photos
11-18-2008,Zürich,Switzerland,Rote Fabrik,with Mogwai
11-17-2008,Fribourg,Switzerland,Fri-Son,with Mogwai and Psyking
11-15-2008,Prague,Czech Republic,Archa Theatre,with Mogwai and Four Tet - photos
11-14-2008,Vienna,Austria,WUK,with Mogwai
11-13-2008,Zagreb,Croatia,Aquarius Club,with Mogwai - photos
11-12-2008,Munich,Germany,Backstage,with Mogwai
11-11-2008,Dresden,Germany,Alter Schlachthof,wiht Mogwai
11-10-2008,Frankfurt,Germany,Mousonturm,
11-06-2008,Berlin,Germany,Huxleys Neue Welt,with Mogwai and Kid 606
11-04-2008,Stockholm,Sweden,Cirkus,with Mogwai
11-03-2008,Lund,Sweden,Mejeriet,with Mogwai
11-02-2008,Copenhagen,Denmark,Lille Vega,with Mogwai
10-30-2008,Amsterdam,Netherlands,Melkweg,with Mogwai - photos
10-28-2008,Paris,France,Casino de Paris,with Mogwai - photos- more photos
10-27-2008,Esch-sur-Alzette,Luxembourg,Rockhal,with Mogwai
10-09-2008,Glasgow,Scotland,ABC Glasgow,
08-14-2008,Edinburgh,Scotland,Liquid Room,with Frightened Rabbit - review #1 + photo - review #2 + photo
07-17-2008,Suffolk,England,Henham Park,Latitude Festival 2008 - video: hit single
07-12-2008,Kinross,Scotland,Balado,T in the Park 2008
07-11-2008,Kinross,Scotland,Balado Airfield,Haight Ashbury Festival 2008
06-21-2008,Aberdeen,Scotland,Moshulu,with Katerwaul and Hidden Leaves
06-19-2008,Leeds,England,Brudenell Social Club,"with Her Name Is Calla, This Et Al and Fran Rodgers"
06-18-2008,Nottingham,England,Bodega Social Club,with Broken Records
06-17-2008,London,England,Cargo,with Orphans & Vandals - video (poor quality): in the blackout - neighbours can't breathe - rabbit
06-16-2008,Manchester,England,Night & Day Café,with Broken Records - photos - poster
06-15-2008,Edinburgh,Scotland,Bongo Club,with Broken Records and Meursault
06-01-2008,Glasgow,Scotland,"Sauchiehall Street, ABC2",The Sauchiehall Crawl
03-17-2008,Brighton,England,Theatre Royal,"with Nina Nastasia, Frightened Rabbit and Silje Nes"
03-15-2008,Dunfermline,Scotland,Carnegie Hall,Tigerfest - video: rabbit
03-30-2008,Dundee,Scotland,The Doghouse,with The Hazey Janes and The Trade
03-29-2008,Inverness,Scotland,The Ironworks,
03-28-2008,Leeds,England,Brudenell Social Club,
03-27-2008,London,England,100 Club,video: the room (clip) - sheepdug - review + photo
03-26-2008,Reading,England,South Street,
03-25-2008,Nottingham,England,The Bodega Social Club,
03-24-2008,Manchester,England,Night & Day Café,with Laymar - review + photo
03-22-2008,Aberdeen,Scotland,Moshulu,with Kartta and Her Name Is Calla - video: rabbit
03-21-2008,Glasgow,Scotland,King Tut's Wah Wah Hut,
03-20-2008,Edinburgh,Scotland,Liquid Room,video (poor quality): loud/quiet
02-23-2008,Stirling,Scotland,The Tolbooth,
01-27-2008,Glasgow,Scotland,O2 ABC,with Camera Obscura - review
12-29-2007,Aberdeen,Scotland,Moshulu,
12-17-2007,Paris,France,Nouveau Casino,with Scout Niblett - review (in German) + photos + setlist
12-16-2007,Amsterdam,Netherlands,Paradiso,
12-15-2007,Venlo,Netherlands,Perron 55,with Merry Pierce
12-13-2007,Groningen,Netherlands,Vera,
12-12-2007,Utrecht,Netherlands,Ekko,with Merry Pierce
12-09-2007,Malmö,Sweden,Debaser,with Tender Souvenirs - video (poor quality): 80's - loud/quiet
12-08-2007,Stockholm,Sweden,Debaser,
12-07-2007,Gothenburg,Sweden,Sticky Fingers,with Tender Souvenirs
12-01-2007,Copenhagen,Denmark,Loppen,
11-29-2007,Edinburgh,Scotland,Cabaret Voltaire,review + photos
11-22-2007,London,England,Hoxton Square Bar & Kitchen,"Club AC30 Show with Little Death, The Nova Saints and Club AC30 DJs"
11-18-2007,Copenhagen,Denmark,Store Vega,with Beirut - video: 3iii
11-17-2007,Aarhus,Denmark,Studenterhus Aarhus,"Gig almost cancelled because they were ""too loud"""
11-03-2007,Edinburgh,Scotland,The Queen's Hall,with Idlewild
11-02-2007,Belfast,Northern Ireland,Mandela Hall,with Idlewild
11-01-2007,Dublin,Ireland,The Village,with Idlewild
10-30-2007,London,England,KOKO,with Idlewild
10-29-2007,Cambridge,England,The Junction,with Idlewild
10-28-2007,Coventry,England,University of Warwick,with Idlewild
10-27-2007,Nottingham,England,Rescue Rooms,with Idlewild
10-25-2007,Exeter,England,Exeter Phoenix,with Idlewild
10-24-2007,Falmouth,England,Princess Pavilion,with Idlewild
10-23-2007,Portsmouth,England,Portsmouth Pyramid Centre,with Idlewild - video (poor quality): loud/quiet
10-21-2007,Glasgow,Scotland,Barrowlands,with Idlewild - photos
10-20-2007,Dundee,Scotland,Fat Sam's,with Idlewild - video: 3iii - review + photo + setlist
10-18-2007,Oban,Scotland,Corran Hall,with Idlewild
10-16-2007,Inverness,Scotland,The Ironworks,with Idlewild
10-15-2007,Lochinver,Scotland,Village Hall,with Idlewild
10-13-2007,Sheffield,England,The Leadmill,with Idlewild
10-11-2007,Leicester,England,The Venue,with Idlewild
10-10-2007,Preston,England,53 Degrees,with Idlewild
10-09-2007,Liverpool,England,Carling Academy 2,"with Idlewild - their guitarist fell down flight of stairs and fractured his arm while watching 
 the Twilight Sad perform but played the show anyway"
10-07-2007,"Denver, CO",USA,Larimer Lounge,
10-05-2007,"St. Louis, MO",USA,The Billiken Club,with Film School - review + photos - interview
10-04-2007,"Chicago, IL",USA,Engine Studios,KEXP Live Session - interview + photos - audio + additional photo
10-04-2007,"Chicago, IL",USA,Empty Bottle,with Health and Beauty and The Thin Hymns
10-03-2007,"Ann Arbor, MI",USA,The Blind Pig,
10-02-2007,"Philadelphia, PA",USA,Gooski's,with Life in Bed - review
10-01-2007,"Washington, DC",USA,Rock and Roll Hotel,with The Positions - review + photo
09-30-2007,"Brooklyn, NY",USA,Music Hall of Williamsburg,Power outage occurred during the show - with The Big Sleep and Other Passengers - review
09-29-2007,"Waltham, MA",USA,Chum's Coffeehouse,
09-28-2007,"Providence, RI",USA,The Living Room,with the Cold War and the Quiet Life
09-27-2007,"Princeton, NJ",USA,Terrace Club,with Caspian
09-22-2007,Glasgow,Scotland,Barfly,"with Frightened Rabbit, Odeon Beatclub and Piano Bar Fight"
09-14-2007,Wiltshire,England,Larmer Tree Gardens,End of the Road Festival 2007
09-13-2007,London,England,Cargo,with Mice Parade and Tom Brosseau
09-11-2007,Brighton,England,The Pressure Point,with Frightened Rabbit and Revenge of Shinobi
09-10-2007,Manchester,England,Phoenix,with Frightened Rabbit and Gintis - review
09-09-2007,Bradford,England,Love Apple Cafe,"with Laura Groves, Le Tournoi and Fourteen Corners"
09-08-2007,Leeds,England,The Faversham,with Frightened Rabbit
09-06-2007,Aberdeen,Scotland,The Lemon Tree,with Frightened Rabbit
09-04-2007,Edinburgh,Scotland,Cabaret Voltaire,with Frightened Rabbit - video: 3iii
09-02-2007,Argyll,Scotland,Inveraray Castle,"with Björk - Connect Festival 2007 - video (with Frightened Rabbit, from 31.08.07): be less rude"
08-30-2007,Dublin,Ireland,The Sugar Club,with Frightened Rabbit - poster
08-29-2007,Belfast,Northern Ireland,Speakeasy,with Frightened Rabbit
08-22-2007,Glasgow,Scotland,O2 Academy,with The Smashing Pumpkins
08-19-2007,Edinburgh,Scotland,Bannerman's Bar,"with Popup, Dumb Instrument and Mouse Eat Mouse - Very 1st Edinburgh gig - review + photo"
08-17-2007,Malmö,Sweden,Mölleplatsen,Malmö Festival 2007
08-16-2007,Aarhus,Denmark,Studenterhus Aarhus,Pop Revo Festival 2007 - photos
08-07-2007,Oslo,Norway,Middelalderparken,Øya Festival 2007
08-05-2007,Glasgow,Scotland,Monorail,Hey You Get Off My Pavement! - photo
07-21-2007,"Brooklyn, NY",USA,Coney Island,Siren Music Festival 2007 - photos - more photos
07-19-2007,"Philadelphia, PA",USA,Johnny Brenda's,
07-18-2007,"Allston, MA",USA,Great Scott,with Tulsa and Relay - review + photos
07-17-2007,"Baltimore, MD",USA,Sonar Main Stage,with Relay
07-14-2007,"Chicago, IL",USA,Schubas Tavern,with Sparrowhouse - photos + interview - review + photo
07-13-2007,"Madison, WI",USA,Memorial Union Terrace,
07-08-2007,Roskilde,Denmark,Festivalpladsen,1st time playing in Denmark - Roskilde Festival 2007
06-28-2007,London,England,O2 Arena,with Ash and Snow Patrol
06-20-2007,Aberdeen,Scotland,Tunnels,with Kartta and Household - poster
06-14-2007,Glasgow,Scotland,Òran Mór,review
05-13-2007,Glasgow,Scotland,The Classic Grand,with Frightened Rabbit
05-11-2007,Brixton,England,The Windmill,with Lord Barringtone and Sportsday Megaphone
05-10-2007,London,England,The Borderline,with Joe Jean and the Jing Jang Jong and Story One - review
05-09-2007,London,England,The Luminaire,with Cougar - video (poor quality): 3iii
05-07-2007,Paris,France,Fleche D'or,
05-05-2007,Glasgow,Scotland,The Classic Grand,with My Latest Novel
04-25-2007,Glasgow,Scotland,The Classic Grand,Triptych Festival 2007 - review
04-23-2007,"Houston, TX",USA,The Mink,with Aerogramme and A Northern Chorus
04-22-2007,"Denton, TX",USA,Hailey's,with Aerogramme and A Northern Chorus
04-21-2007,"Austin, TX",USA,Emo's,with Aerogramme and A Northern Chorus
04-19-2007,"Phoenix, AZ",USA,Modified,with Aerogramme and A Northern Chorus
04-18-2007,"Los Angeles, CA",USA,The Knitting Factory,with Aerogramme and A Northern Chorus
04-17-2007,"San Diego, CA",USA,Casbah,"with Aerogramme and A Northern Chorus - review #1 + photos - review #2 + photos more photos"
04-16-2007,"San Luis Obispo, CA",USA,Downtown Brew,with Aerogramme and A Northern Chorus
04-15-2007,"San Francisco, CA",USA,The Independent,with Aerogramme and A Northern Chorus
04-14-2007,"Portland, OR",USA,Dante's,with Aerogramme and A Northern Chorus
04-13-2007,"Seattle, WA",USA,Crocodile Cafe,with Aerogramme and A Northern Chorus - review - photos
04-10-2007,"Minneapolis, MN",USA,7th Street Entry,with Aerogramme and A Northern Chorus
04-09-2007,"Chicago, IL",USA,Subterranean,with Aerogramme and A Northern Chorus - video: sheepdug - photos - more photos
04-07-2007,"Hamilton, ON",Canada,The Casbah,with Aerogramme and A Northern Chorus
04-06-2007,"Toronto, ON",Canada,El Mocambo,with Aerogramme and A Northern Chorus
04-05-2007,"Montreal, QC",Canada,Main Hall,with Aerogramme and A Northern Chorus
04-04-2007,"Cambridge, MA",USA,The Middle East,with Aerogramme and A Northern Chorus
04-03-2007,"Brooklyn, NY",USA,Luna Lounge,with Aerogramme and A Northern Chorus
04-02-2007,"New York, NY",USA,The Knitting Factory,with Aerogramme and A Northern Chorus
04-01-2007,"Philadelphia, PA",USA,Johnny Brenda's,with Aerogramme and A Northern Chorus
03-23-2007,"Washington, DC",USA,Black Cat,with Mary Timony and Battles
03-22-2007,"Norfolk, VA",USA,The Boot,
03-21-2007,"Raleigh, NC",USA,King's Lounge,with Mary Timony
03-20-2007,"Mt Pleasant, SC",USA,Village Tavern,"with Mary Timony, The New Trust and Ambulette"
03-19-2007,"Birmingham, AL",USA,The Bottletree Lounge,with Mary Timony and Ladyhawk
03-18-2007,"Austin, TX",USA,Home Slice Pizza,SXSW 2007
03-16-2007,"Austin, TX",USA,Mohawk,SXSW 2007
03-15-2007,"Austin, TX",USA,Scoot Inn,SXSW 2007
03-14-2007,"Austin, TX",USA,Emo's Annex,"SXSW 2007 - video (poor quality, incomplete): rabbit - photos (live + promo) - more photos"
03-01-2007,Glasgow,Scotland,Nice n' Sleazy,
02-26-2007,Glasgow,Scotland,King Tut's Wah Wah Hut,with Errors and the Hedrons
02-21-2007,Glasgow,Scotland,Barfly,with Troubles
02-15-2007,Liverpool,England,Korova,with Micah P. Hinson
02-14-2007,Birmingham,England,Glee Club,with Micah P. Hinson
02-13-2007,Bristol,England,Thekla,with Micah P. Hinson - 1st time playing on a boat
02-08-2007,London,England,Bush Hall,with Nina Nastasia and Frightened Rabbit
02-02-2007,Hasselt,Belgium,KC België,Open Circuit Festival
11-20-2006,Glasgow,Scotland,Mono,
11-19-2006,"New York, NY",USA,Pianos,
11-14-2006,"Cambridge, MA",USA,The Middle East Upstairs,with Spiral Beach and The Hidden Cameras
11-12-2006,"New York, NY",USA,Pianos,
11-11-2006,"Cleveland, OH",USA,Grog Shop,with To Be A High Powered Executive and Henry James
11-05-2006,"New York, NY",USA,Pianos,
11-01-2006,"New York, NY",USA,Fontana's,CMJ Music Festival 2006
11-01-2006,"New York, NY",USA,The Delancey,CMJ Music Festival 2006
